sentiment,review_body,product_category
-1,Whatever happened to sizing! pretty print and color but has enough fabric for 2 tops. it is also unlined which is not a huge issue. i wore it with a cami. the arms weren't too gaping for me  thankfully. i tried to make it work with a wide belt but i will have to get it tucked on the sides. i am 140 lbs and got the small. should have gone 1 or even 2 sizes smaller.,Blouses
-1,I loved this shirt when it first arrived and i couldn't wait to wear it. after one day of wear  i went to hang the shirt back up and it was ripping on both sides of the middle back seem. this shirt was not tight on me at all. very disappointed.,Blouses
-1,Loved loved loved the shirt but...the material was so thin,Blouses
-1,So  i want to start off by saying  the quality of this shirt really was great. as was the pattern  unfortunately if you're going off the picture know that they definitely pinned in the sides on the model. this shirt has a full on triangle shape and flares significantly towards the bottom  it's not a straight fit as the picture would suggest. i'm sure this works for some women but if you're muscular with an already v-shape to your body (meaning your shoulders are significantly sized and you have,Blouses
-1,I wanted to love this  was so excited when i ordered it online. the fabric (blue and white) was beautiful  but the cut was bad. it fit me like a maternity top  and made me look like i was 6 months along. i have a feeling that the models had theirs pinned back  in the back  because it does not lay flat like that in front  it has a lot of fabric with no place to go but up and out. returning.,Blouses
-1,I wanted to love this product so badly. i ordered it in the mail  and it looked beautiful coming out of the box. i normally look really nice in grey  but this color really washed me out and was not nice on. the fabric is very sheer  so you would have to wear it over a camisole/tank top. this is one of those pieces that looks better on the hanger than in person. large in arms  small on body. odd fit.,Blouses
-1,This is a sweet top as it is shown. on the model it appears there is a panel behind the lace on the front of the top. this is not so-the entire front of the top is see through. one would need to wear a camisole. the material on the blouse is very sheer-it appears to be rather cheap actually. if you are wearing a top this sheer it does not make sense to have a camisole on underneath. that said you are going to be able to see your bra and skin down to your belly button if you do not have a camisol,Blouses
-1,Loved this shirt when i saw the picture. unfortunately fit was not what it needed to be to keep it. you can't really see in the photo but if you have any chest at all (i am only 34b...so would say of average size bust) this shirt will not fit well. there is a seam in the bust area that cuts across the bust which is not flattering/doesn't fit well . the sleeves were also a bit more tight than i'd have thought from the photo.  really wanted to love this - but unless you have a smaller chest it lik,Blouses
-1,If you like to wear lampshades this is the shirt for you. beyond unflattering. boxy and seriously looks like lace was stitched to the bottom of a lampshade,Blouses
0,I had reservations about this top based on other reviews  but it looked cute on the model so i took my chances. i have an athletic build--not model-thin  but not dumpy either--and this top made me look very frumpy and matronly. the sleeves were especially unflattering. i purchased it in an ps and might have done better with a pxs.,Blouses
0,Beautiful victorian look blouse. runs large and overly blousy on me.,Blouses
0,I so badly wanted this top to work. it looks so cute! but  as soon as i tried it on  i knew it wasn't a keeper. i didn't even need a mirror! it's not suited for those of us with a bust (i'm a 34d) and anything but a lanky model-esque frame. i suggest sizing up if you're busty and want to give it a try. it looked dowdy on me.,Blouses
0,I'd been wanting the blouse for quite a while but hesitated based on reading reviews. when it went on sale i thought i'd try but it was like a tent on me. the fabric was pretty but just hung without any resemblance to photo. too bad because the color was gorgeous & could have been a favorite of looked like photo.,Blouses
0,I love this shirt. tried in on in stores. i'm typically a medium across the board. i'm 5'6  137lbs  34d. i went for the size 6 figuring the 4 would be too small. the 6 fit... but it's short like everyone else said. not crop top short but definitely raise your arms and stomach is exposed short. i didn't buy it for the $50 price tag because of the shortness. but now that it's 30% i might spring for it  regardless of the weird cut. it's super cute otherwise!,Blouses
0,Purchased this top because of the sale. i got it in the peach and the maize. i think it is big  boxy  and loose but at the sale price it is not a bad top to have. the colors are vibrant and striking. pretty with shorts and capris. i did size down from 2 to 0,Blouses
0,Fell in love with the look of this top in the store but they didn't have it in my size (0) -- thought i'd try the 2 as the 0 was sold out online as well. alas  the fit is rather tentlike -- it did not drape as i had hoped. a beautiful and unique pattern on the right body  but on my slight frame it was not flattering. it's going back to retailer.,Blouses
0,Frumpy is the word i would use to describe this top. i look good in empire waist shirts and seek them out. but this one made me look pregnant and frumpy. and it has an attached camisole  but the sheerness of the top still showed my nude-colored bra strap. so i don't even know what to wear under it. it's going back  even with the sale price.,Blouses
0,This top runs small across the top. i was amazed at the material--polyester  i am sure--because the price was so high. it has a sheer layer underneath  which i think would make it hot in the summer. i love this kind of tank but it just did not look as good as it does online.,Blouses
1,I tried on a small  but usually am xs:    this shirt dind't seem like it had too much fabric or too bulky to me as it did to others adn i tried on a larger size. teh material is soft and feminine  and love the embroidered detail. one thing to note is i found that even with the layer of fabric  it was still a bit sheer and i could see through in some of the dressing room lighting. didn't purchase only based on the skin tone v's shirt color. color of shirt is gorgeous  but i am pale and it wasn't,Blouses
1,"I am so drawn to baby doll and boxy shirts so i immediately tried this on in the store. i am petite and only 5'2""  so usually shirts with a lot of fabric swallow me whole but this one was still cute. there is a lot more fabric than the picture lets on  but i think it is still super cute and flattering. i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type. i am petite and weigh about 110 lbs",Blouses
1,I am in love with this top. flannel shirts are a fall staple  but i don't own any. any flannel shirt that i have come across has been a button down  which simply does not work for me  given my chest size. i hate button downs that gap or that i have to leave unbuttoned and wear a tank underneath. it's not flattering. this top is flannel  no buttons  and off the shoulder  which is such a unique and fresh style. the off the shoulder feature stays in place thanks to tiny straps sewn in that you put,Blouses
1,I love this tunic the natural color is just that  this is a tunic so the fit is a little large. i kept it and had it altered because i really do love this top,Blouses
1,This top is very pretty and figure-flattering because of the way it nips in under the bust. the neckline and color are also flattering. however  it runs a bit small and you need to get the right fit for the bust  balancing the band under the bustline with the roominess of the chest area. there is a side zipper but it can still be a little tricky to get on and off. i wound up not buying it due to the price  but i'd probably snap it on sale.,Blouses
1,I bought this is the orange/red motif and it is a beautiful print  although in person it is a more rich reddish color than the washed out model image. the entire shirt is sheer  so i will need to wear something under  but that doesn't bother me. i have a small chest (34a) and find that the front of the shirt is noticeably longer than the back  but that wouldn't be an issue if i was a little better endowed. this looks gorgeous with black pants and a blazer. not sure that it is worth full price  b,Blouses
1,I saw this in the store and wanted to try it but couldn't justify buying *another* denim shirt at this price. then it went on sale! as others said  this does run a bit small though the chest/shoulders  so i sized up one size. it's still slightly fitted  but my broad shoulders are used to that. i was afraid that the pleats would give a maternity look (although my chest size is not that large 36b)-- it doesn't do that on me. it's loose but not overly so--kinda like the current swing top trend! the,Blouses
1,I bought this at the store today and it's the perfect summer top! i'm not going to pull it off my shoulders  so it's a little shorter than shown here. but it goes great with capris and skinny jeans and i plan to take it with me to italy. it will go with so many things! very well made  thickish material.,Blouses
1,Super cute  great for a casual summer day. fabric is nice and light and honey color goes well with denim  kaki  or olive green. runs a little large but still looks good especially with fitted jeans or capri pants.,Blouses
-1,"So i really loved this dress. i am tall (6ft) and the size 8 was perfect length. i would have worn it with flat dressy sandals. i would say it is true to size. i am not a flowy dress kind of girl but this was just the perfect amount of ""flow"" without making me feel like i was wearing a long potato sack. the back is just gorgeous and unique. here is why i couldn't make it mine. the tube top part is completely detachable and extremely thin. there is literally not much to it and i'm not sure it wou",Dresses
-1,No. this is one of the most unflattering things i've ever put on my body. i'm a very well-proportioned hourglass - i tend to wear a small despite a booty and 36d chest - this made me look huge. don't do it.,Dresses
-1,I loved the color and design of this dress but needed to return it because it fit so poorly. the arm holes are entirely too big -- so big that alternations couldn't fix it. maybe it's because i am petite but i think it may be a design flaw.,Dresses
-1,This dress looked gorgeous in the monthly catalog. ordered in hopes to wear in easter. i felt it was frumpy and just ok. color was pretty but overall; i didn't love it like i hoped to.,Dresses
-1,I wanted to like this but it just didn't have much of a shape  not flattering at all. maybe if i was taller?,Dresses
-1,Runs small. i'm usually a size sm for retailer clothing (for reference  i'm 5'4  129lbs  36b). the tie around the waist of this dress is not a functional tie that you can relax a bit to give yourself more room around the waist. i could not fasten the buttons to close the dress on the size 8. the size 10 fit enough to fasten the buttons but there was a lot of extra fabric and the arm holes were very large. pretty  vibrant colors but size up and be warned of the large armholes.,Dresses
